"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 35V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3, C11, C12","3","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"3","C4, C5, C6, C7","4","47n","Capacitor_SMD:C_0805_2012Metric","","",""
"4","C8","1","220u","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","","",""
"5","C9, C10","2","220n","Capacitor_SMD:C_0805_2012Metric","","",""
"6","C13","1","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"7","C14","1","100p","Capacitor_SMD:C_0805_2012Metric","","",""
"8","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"9","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"10","J2, J3, J4, J5, J6, J7","6","AudioJack2_SwitchT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"11","Q1, Q2, Q3, Q4, Q5, Q6, Q7","7","BCM847","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","Mouser","771-BCM847DS135"
"12","Q8","1","BC557","Package_TO_SOT_THT:TO-92L_Inline_Wide","","Mouser","637-BC557B"
"13","Q9","1","BC547","Package_TO_SOT_THT:TO-92L_Inline_Wide","","Mouser","637-BC547C"
"14","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"15","R3, R4, R32","3","120K","Resistor_SMD:R_0805_2012Metric","","",""
"16","R5, R31","2","56K","Resistor_SMD:R_0805_2012Metric","","",""
"17","R6","1","10K","Resistor_SMD:R_0805_2012Metric","","",""
"18","R7, R8, R9, R13","4","100K","Resistor_SMD:R_0805_2012Metric","","",""
"19","R10","1","150K","Resistor_SMD:R_0805_2012Metric","","",""
"20","R11","1","1.8K","Resistor_SMD:R_0805_2012Metric","","",""
"21","R12, R15","2","470","Resistor_SMD:R_0805_2012Metric","","",""
"22","R14","1","220","Resistor_SMD:R_0805_2012Metric","","",""
"23","R16, R26, R28, R33","4","1K","Resistor_SMD:R_0805_2012Metric","","",""
"24","R17, R19, R20, R21","4","150","Resistor_SMD:R_0805_2012Metric","","",""
"25","R18, R22","2","330","Resistor_SMD:R_0805_2012Metric","","",""
"26","R23, R30","2","47K","Resistor_SMD:R_0805_2012Metric","","",""
"27","R24, R27","2","220K","Resistor_SMD:R_0805_2012Metric","","",""
"28","R25","1","22","Resistor_SMD:R_0805_2012Metric","","",""
"29","R29","1","180","Resistor_SMD:R_0805_2012Metric","","",""
"30","R34","1","680","Resistor_SMD:R_0805_2012Metric","","",""
"31","RV1, RV2","2","A50K","Eurorack:Potentiometer_RV16AF-41-15R1","","Tayda","A-4182"
"32","RV3","1","B50K","Eurorack:Potentiometer_RV16AF-41-15R1","","Tayda","A-2393"
"33","RV4","1","B10K","Eurorack:Potentiometer_RV16AF-41-15R1","","Tayda","A-2969"
"34","RV5","1","C50K","Eurorack:Potentiometer_RV16AF-41-15R1","","Tayda","A-4181"
"35","RV6","1","500","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"36","RV7","1","10K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"37","RV8","1","1K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"38","TP1","1","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","",""
"39","U1","1","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Mouser","595-TL072CDR"
